,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"kappa[21,0]",-2.9847,0.3728,-3.5838,-2.3685,0.0069,0.0049,2911.9073,4739.6148,1.0011
"kappa[21,1]",-0.4136,0.2374,-0.7993,-0.0178,0.0047,0.0033,2587.1602,5392.6166,1.0007
"kappa[21,2]",0.5527,0.2388,0.1605,0.9424,0.0046,0.0032,2715.4351,4774.0119,1.0004
"kappa[21,3]",2.946,0.3703,2.3729,3.5889,0.0053,0.0037,4925.9371,6263.6069,1.0005
"kappa[22,0]",-4.673,0.715,-5.798,-3.4994,0.0096,0.0069,5658.4189,5588.5917,1.001
"kappa[22,1]",-2.6752,0.3312,-3.1948,-2.1143,0.0032,0.0023,10485.8551,6783.2865,1.0
"kappa[22,2]",-1.7738,0.2411,-2.1706,-1.374,0.0026,0.0018,8750.761,6711.1902,1.0004
"kappa[22,3]",-0.5471,0.1807,-0.8341,-0.2446,0.0021,0.0016,7088.8369,4925.9477,1.0006
"kappa[23,0]",-4.8047,0.7231,-5.9901,-3.6515,0.0114,0.0081,4134.6854,4852.1821,1.0006
"kappa[23,1]",-2.598,0.314,-3.0793,-2.0601,0.0034,0.0024,8618.3764,6454.5653,1.0006
"kappa[23,2]",-1.8898,0.2468,-2.2937,-1.4866,0.0029,0.0021,7330.4029,6291.4104,1.0017
"kappa[23,3]",0.3777,0.1826,0.0869,0.6879,0.0024,0.0018,5594.2922,4717.6204,1.0022
"kappa[24,0]",-5.3788,0.8692,-6.6828,-3.8952,0.0119,0.0085,5471.3963,4935.6305,1.0001
"kappa[24,1]",-2.8601,0.3428,-3.4193,-2.3052,0.0031,0.0022,11990.6918,6702.1101,1.0001
"kappa[24,2]",-2.0364,0.2565,-2.4458,-1.6086,0.0026,0.0019,9791.2135,7090.683,1.0014
"kappa[24,3]",-0.2231,0.1822,-0.5243,0.0732,0.0024,0.0018,5936.3599,5505.7009,1.0013
"kappa[25,0]",-3.8108,0.4872,-4.5959,-3.0256,0.0074,0.0053,4357.3788,5425.5889,1.0007
"kappa[25,1]",-1.652,0.2452,-2.0631,-1.2572,0.0036,0.0026,4644.2097,6238.9721,1.0
"kappa[25,2]",-0.6959,0.2064,-1.0537,-0.3788,0.0032,0.0022,4264.2468,5775.2043,0.9999
"kappa[25,3]",0.526,0.2001,0.1961,0.846,0.0032,0.0023,3974.0708,5238.5051,1.0003
"kappa[26,0]",-3.1455,0.3692,-3.7081,-2.5026,0.0061,0.0043,3762.4559,5369.5974,1.0007
"kappa[26,1]",-1.3014,0.2326,-1.6578,-0.8965,0.0038,0.0027,3679.2154,6085.2982,0.9999
"kappa[26,2]",-0.4021,0.21,-0.7388,-0.0557,0.0036,0.0025,3498.1777,5385.3643,0.9999
"kappa[26,3]",1.2982,0.2385,0.8996,1.6878,0.0037,0.0026,4255.4187,6030.7847,1.0001
"kappa[27,0]",-3.6863,0.4637,-4.4097,-2.8915,0.007,0.005,4420.2858,5335.2002,1.0004
"kappa[27,1]",-1.1097,0.2101,-1.4493,-0.7631,0.003,0.0021,4796.0059,5492.0816,1.0009
"kappa[27,2]",0.3202,0.191,0.0103,0.6413,0.003,0.0022,3948.853,5018.2006,1.0023
"kappa[27,3]",2.3909,0.2977,1.9004,2.8633,0.0035,0.0025,7421.6494,6499.7245,1.0001
"kappa[28,0]",-5.3631,0.8556,-6.7022,-3.9553,0.0121,0.0086,5078.5626,5117.0711,1.0008
"kappa[28,1]",-2.028,0.2623,-2.4386,-1.59,0.0027,0.0019,9197.7826,6022.1794,1.0003
"kappa[28,2]",-0.8931,0.1913,-1.1969,-0.5732,0.0023,0.0016,6792.8041,6141.0246,1.0004
"kappa[28,3]",0.6507,0.1904,0.3483,0.9633,0.0023,0.0017,6582.714,5875.2021,1.0009
"kappa[29,0]",-3.3841,0.4164,-4.0613,-2.7017,0.0079,0.0056,2813.4091,4706.6258,1.001
"kappa[29,1]",-1.2138,0.2749,-1.6379,-0.7309,0.0058,0.0041,2267.5787,4001.9498,1.0007
"kappa[29,2]",-0.0985,0.2547,-0.5141,0.3244,0.0055,0.0039,2176.4684,3400.0894,1.0004
"kappa[29,3]",2.0386,0.3179,1.5044,2.5418,0.0058,0.0041,2969.0178,5269.3011,1.0003
"kappa[30,0]",-5.319,0.8517,-6.6417,-3.9106,0.0119,0.0085,5253.3587,5568.7004,1.0001
"kappa[30,1]",-1.9344,0.2535,-2.3381,-1.5121,0.0025,0.0018,10238.4172,6642.9407,0.9999
"kappa[30,2]",-0.6074,0.1824,-0.905,-0.3082,0.002,0.0015,7990.4909,6082.663,1.0002
"kappa[30,3]",1.7546,0.2384,1.3588,2.1331,0.0024,0.0017,9953.3685,7152.3939,1.0004
"kappa[31,0]",-4.5573,0.5482,-5.4592,-3.6834,0.008,0.0057,4699.461,5076.3803,1.0001
"kappa[31,1]",-1.7021,0.2682,-2.1217,-1.2398,0.0045,0.0032,3549.4128,5588.2686,1.0006
"kappa[31,2]",-0.4709,0.2351,-0.8584,-0.0904,0.0042,0.0029,3196.7701,4881.4236,1.0007
"kappa[31,3]",2.1471,0.3117,1.6536,2.6747,0.005,0.0035,3968.7937,5119.3199,1.0005
"kappa[32,0]",-2.8653,0.3489,-3.4156,-2.284,0.0049,0.0035,4894.4126,5434.3109,1.0008
"kappa[32,1]",-1.9091,0.2584,-2.3385,-1.4927,0.0035,0.0025,5466.049,6049.1926,1.0005
"kappa[32,2]",-1.4717,0.2315,-1.8425,-1.0898,0.0032,0.0023,5040.8803,6114.6875,1.0004
"kappa[32,3]",-0.0115,0.1946,-0.3394,0.3069,0.0028,0.0022,4849.0857,5487.2191,1.0004
"kappa[33,0]",-1.4008,0.2147,-1.736,-1.0314,0.0027,0.0019,6327.406,6283.1345,1.0002
"kappa[33,1]",0.3639,0.1815,0.0579,0.6514,0.002,0.0015,8516.6285,6252.8572,1.0007
"kappa[33,2]",0.8339,0.1932,0.5281,1.1552,0.002,0.0015,9042.0734,5853.5434,1.0008
"kappa[33,3]",1.9957,0.2696,1.544,2.4185,0.0026,0.0019,10941.4637,6781.4009,1.0002
"kappa[34,0]",-3.2516,0.402,-3.8912,-2.5856,0.0073,0.0052,3070.469,4557.6744,1.0007
"kappa[34,1]",-1.0521,0.2641,-1.4778,-0.6043,0.0052,0.0037,2565.1082,5178.1539,1.0003
"kappa[34,2]",-0.3164,0.2489,-0.6997,0.1158,0.005,0.0036,2432.5839,4732.2865,1.0004
"kappa[34,3]",2.0233,0.3115,1.4979,2.5232,0.0053,0.0037,3483.1069,5368.2872,1.0002
"kappa[35,0]",-2.6367,0.3175,-3.1657,-2.1243,0.0043,0.0031,5419.1246,5497.1061,1.0006
"kappa[35,1]",-0.9843,0.2005,-1.3259,-0.671,0.0026,0.0018,6047.8482,6631.458,0.9999
"kappa[35,2]",-0.4094,0.1866,-0.7212,-0.1107,0.0026,0.0019,5037.4727,5780.9773,1.0
"kappa[35,3]",0.6575,0.1927,0.3417,0.9721,0.0026,0.0019,5465.4067,5811.603,1.0001
"kappa[36,0]",-3.2992,0.4146,-3.9995,-2.6463,0.0053,0.0038,6197.4276,5757.5978,1.0007
"kappa[36,1]",-1.1732,0.2027,-1.5149,-0.8493,0.0022,0.0016,8566.152,6640.9015,1.0008
"kappa[36,2]",-0.2339,0.1793,-0.5107,0.0721,0.0021,0.0017,7262.4854,5168.5629,1.0008
"kappa[36,3]",1.3585,0.2167,1.0121,1.7264,0.0024,0.0017,8278.3725,6537.3381,1.0
"kappa[37,0]",-4.2598,0.555,-5.1045,-3.3056,0.0074,0.0054,5774.8278,4870.1309,1.0011
"kappa[37,1]",-2.4809,0.3043,-2.9896,-1.9943,0.0036,0.0026,6894.644,6483.4675,1.0001
"kappa[37,2]",-1.7673,0.2498,-2.1598,-1.3461,0.0032,0.0023,6062.1084,6161.102,1.0003
"kappa[37,3]",0.4762,0.1991,0.1546,0.8042,0.0031,0.0022,4207.4468,5535.9242,1.0001
"kappa[38,0]",-3.0274,0.3748,-3.6495,-2.4325,0.0048,0.0034,6216.5786,6260.5158,1.0001
"kappa[38,1]",-1.6436,0.2297,-2.0069,-1.26,0.0026,0.0018,7831.8166,6581.1941,1.0001
"kappa[38,2]",-0.976,0.1944,-1.3009,-0.6719,0.0023,0.0016,7300.6465,6345.4974,1.0004
"kappa[38,3]",0.6087,0.1852,0.3117,0.9144,0.0022,0.0015,7300.5754,6079.7066,1.0004
"kappa[39,0]",-0.4476,0.1883,-0.7668,-0.1478,0.0028,0.002,4554.6823,5539.4291,0.9998
"kappa[39,1]",0.5832,0.1935,0.2619,0.8872,0.0025,0.0018,5998.1999,5641.9907,1.0014
"kappa[39,2]",1.1699,0.21,0.8346,1.5189,0.0023,0.0017,8427.5993,6120.4947,1.0008
"kappa[39,3]",2.3671,0.2961,1.8854,2.8415,0.0028,0.002,11006.0039,6584.1176,1.0002
"kappa[40,0]",-5.0954,0.7161,-6.2441,-3.9314,0.0101,0.0073,5320.0633,4978.9482,1.0003
"kappa[40,1]",-2.5346,0.3082,-3.0407,-2.0394,0.0043,0.003,5259.9635,6281.8412,1.0004
"kappa[40,2]",-1.3391,0.2313,-1.718,-0.9586,0.0036,0.0026,4170.3421,5392.7337,1.0001
"kappa[40,3]",0.9729,0.2202,0.6293,1.3523,0.0037,0.0026,3527.8012,5388.2669,1.0006
"kappa[41,0]",-3.2943,0.3902,-3.9499,-2.6841,0.0064,0.0045,3664.5395,5354.5264,1.0004
"kappa[41,1]",-1.0245,0.2353,-1.3864,-0.6198,0.0041,0.0029,3267.5871,5597.1148,1.0002
"kappa[41,2]",0.0968,0.2182,-0.2397,0.4763,0.004,0.0028,2954.1566,5055.8614,1.0006
"kappa[41,3]",2.6492,0.3317,2.0787,3.1644,0.0048,0.0034,4756.6559,5886.1753,1.0007
"kappa[42,0]",-1.4634,0.253,-1.8611,-1.0357,0.0049,0.0035,2701.166,4409.3732,1.0007
"kappa[42,1]",0.9578,0.2368,0.5584,1.3371,0.0041,0.0029,3290.3456,5386.6089,1.0002
"kappa[42,2]",1.8271,0.2759,1.3942,2.2914,0.0044,0.0031,3969.6859,5871.3775,1.0004
"kappa[42,3]",4.116,0.5033,3.279,4.9112,0.0058,0.0041,7412.0208,5909.1119,1.0003
"kappa[43,0]",-4.3563,0.6219,-5.2914,-3.3004,0.0082,0.0059,6071.4595,5578.9541,1.0005
"kappa[43,1]",-2.8068,0.3363,-3.3893,-2.2927,0.0034,0.0024,9562.0111,6723.9748,1.0007
"kappa[43,2]",-1.7728,0.2424,-2.1658,-1.3787,0.0027,0.0019,7997.4313,6342.4474,1.0007
"kappa[43,3]",0.2035,0.1843,-0.1159,0.4873,0.0023,0.0018,6424.1688,5308.898,1.0006
